id,empresa,cnpj,cidade,estado,distancia_km_aracatuba,categoria,linha,produto_provavel,produto_secundario,justificativa_produto,potencial,consumo_estimado,tipo_operacao,o_que_fabrica_constroi,obras_atuais,comprador,telefone,whatsapp,email,site,endereco,fonte,data_pesquisa,ultimo_contato,status,proximo_contato,ultima_compra,crm,vendedor,situacao,proxima_acao,necessidade_identificada,motivo_prospect,abordagem,observacoes_comerciais,indicacao
ARA-001,"Medida Exata Comércio de Ferro e Aço","Não identificado",Araçatuba,SP,0,"Corte e dobra","Ferro para construção","SI 50 / CA-50 (reto, bobina, spooler) — VALIDAR NO CATÁLOGO nomenclatura SI vs CA","CA-60 / AC-SI 60; Treliças; Telas/malhas; Arame recozido; Fio-máquina","FATO: site lista vergalhão CA-50/CA-60, treliças, malha pop, arame recozido e serviço de corte+dobra+armação. Consome matéria-prima de construção para transformar em ferragem armada.",Alto,Alto,"Corte, dobra e armação + revenda atacado/varejo de aços construção","Ferragens armadas, sapatas/gaiolas, estribos sob medida","Não identificado (atende obras da região)","Não identificado — Provável Flávio (e-mail público flavio@medidaexata.net.br)","(18) 3608-8900","(18) 98184-0127",flavio@medidaexata.net.br,https://medidaexata.net.br/,"Av. Jorge Mellem Rezek, 3104 — Rosele — Araçatuba/SP","medidaexata.net.br; Facebook Medida Exata Ferro e Aço",08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Ligar para compras: oferta CA-50/60 + treliças + telas; mapear volume mensal e fornecedor atual","Matéria-prima contínua para corte/dobra/armação","Única CD local com linha completa publicada; volume recorrente; porta de entrada para várias obras da cidade","Posicionar como fornecedor de matéria-prima (não competir no varejo da obra). Abrir com CA-50 bobina/reto + arame. Perguntar bitolas e volume mensal.","⭐ MULTIPRODUTO + MULTIOPORTUNIDADE. Também revende aço construção (concorrência parcial no varejo). Foco: ser o fornecedor da CD. Contato Facebook: +55 18 3608-8900 / 98184-0127.",
ARA-002,"Serv Aço",48.203.570/0001-05,Birigui,SP,20,"Corte e dobra","Ferro para construção","CA-50 / SI 50","CA-60; Treliças; Telas; Arame recozido","FATO: anuncia linha completa de aços construção + corte, dobra e armação sob medida; atende construtoras e lojas.",Alto,Alto,"Corte/dobra/armação + atacado/varejo","Ferragem armada, treliças, estribos, malhas","Não identificado","Não identificado","(18) 3021-2898 / (18) 3642-0439","(18) 99645-5802","Não identificado","Não identificado","Rua Benedito de Souza Guimarães, 120 — Residencial Eurico Caetano — Birigui/SP — CEP 16206-463","listamais.com.br/Serv Aço Birigui",08/09/2026,,"Sem retorno",,,Ativo,Hugo,Qualificado,"Visita Birigui junto com Saita; cotação CA-50/60 + treliças","Suprimento recorrente de vergalhão e treliças","CD ativa a 20 km; compra recorrente; atende construtoras de Birigui","Mesma lógica Medida Exata: matéria-prima + prazo. Comparar frete Araçatuba vs fornecedor atual.","Agrupar rota Araçatuba–Birigui. | Atualizado via indicação Paulo (xlsx).",Paulo
ARA-003,"Vivafer Ferro e Aço","Não identificado",Araçatuba,SP,0,"Corte e dobra","Ferro para construção","CA-50 / SI 50","Treliças; Arame; Estribos","FATO: site anuncia comércio de ferro para construções, vigas, sapatas, treliças, estribos e serviço de corte e dobra.",Médio,Médio,"Comércio + corte e dobra","Corte/dobra e fornecimento para obras","Não identificado","Não identificado","(18) 3441-1165 / (18) 3622-7001","Não identificado","Não identificado",https://vivafer.com.br/,"Araçatuba/SP (endereço completo não identificado no site)",vivafer.com.br,08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Ligar; confirmar se processa vergalhão ou só revende; volume","Provável compra de vergalhão/treliças","CD/revenda local com telefone público e serviço de corte e dobra","Descobrir se compra direto de usina; oferecer CA-50 + treliças com frete local.","Pode ser concorrente no varejo — classificar após 1º contato.",
ARA-004,"Birisoldas Aço, Corte e Dobra",65.078.468/0001-44,Birigui,SP,20,"Corte e dobra","Ferro para construção","CA-50 / SI 50 — Provável — validar se atua em vergalhão ou chapa","CA-60; Telas; Treliças — VALIDAR","FATO: CNAE/registro como serviço de corte e dobra de metais; CNAEs secundários incluem estruturas metálicas e atacado de materiais de construção. ATENÇÃO: confirmar se é armadura (CD) ou chapa (M11).",Médio,Médio,"Corte e dobra (tipo a confirmar)","Serviço de corte e dobra de metais","Não identificado","Não identificado","Não identificado","Não identificado","Não identificado","Não identificado","Rua João Cortelazzi, 2106 — Vila Isabel Marin — Birigui/SP — CEP 16204-030","mestregeo.com.br CNPJ 65.078.468/0001-44",08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Visita/telefone: confirmar se corta vergalhão (manter CD) ou chapa (reclassificar M11)","Validar tipo de aço processado","Empresa de corte e dobra em Birigui com capital social R$ 400 mil — potencial se for armadura","Pergunta aberta: 'vocês trabalham com vergalhão CA-50 ou com chapa?' Antes de ofertar.","Não classificar definitivamente como CD até validar. Datas de fundação em bases cadastrais inconsistentes — validar situação cadastral.",
ARA-005,"Lobisfer Ferro e Aço","Não identificado",Araçatuba,SP,0,Revenda,"Ferro para construção","CA-50 / SI 50 (revenda)","Treliças; Arame; Chapas — Provável — validar portfólio","FATO: listada como aço para construção civil no centro de Araçatuba.",Alto,Médio,"Distribuição/revenda de aço construção","Comércio de aço para construção","Não identificado","Não identificado","(18) 2102-5600","Não identificado","Não identificado","Não identificado","Rua Aguapeí, 299 — Centro — Araçatuba/SP — CEP 16010-500","guiatelefone.com; zapia.digital",08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Incluir na rota: mapear compra atacado e possível parceria/indicação","N/A — concorrente de canal","Revenda local do mesmo segmento — priorizar abordagem de atacado","Abordar como prospect de atacado para revenda.","Potencial Alto (ex-concorrente de canal). Validar abordagem atacado/parceria.",
ARA-006,"TARRAF Incorporadora (obras Araçatuba)","67.041.095/0001-62 (matriz SJRP)",Araçatuba,SP,0,Construtora,"Ferro para construção","CA-50 / SI 50 — Provável via CD ou empreiteiro","Treliças; Telas; Arame recozido","FATO: múltiplos empreendimentos em Araçatuba (DECK 330, Almaviva, Opus One, Monjardin; Brasília Square VGV ~R$ 230 mi previsto 2026). Consumo de aço de armadura é alto em estrutura — mas comprador pode ser CD/empreiteiro, não a incorporadora.",Alto,Alto,"Incorporação e construção de edifícios","Residencial e mixed-use (Brasília Square)","DECK 330; Brasília Square (Av. Brasília, 2090 — lançamento); outros entregues/em andamento","Não identificado — Provável engenharia de obras / suprimentos matriz SJRP","(17) 4004-6655 / (17) 3354-1500","Não identificado",contato@tarraf.com.br,https://tarraf.com.br/,"Escritório Araçatuba: Av. Brasília, 2090 — SP 16015-645 | Matriz: Av. Juscelino K. de Oliveira, 2000 — SJRP","tarraf.com.br; aracatubafacts; lr1.com.br; LinkedIn TARRAF",08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Visitar canteiro DECK 330 / Brasília Square: identificar placa de CD/fornecedor de aço; depois abordar CD ou suprimentos","Armadura para estruturas de edifícios — comprador oculto a mapear","Maior pipeline imobiliário ativo em Araçatuba; volume de aço significativo nas obras","NÃO ofertar direto sem mapear comprador. Abordagem: engenharia da obra → 'quem está fornecendo o aço?' → atacar CD/empreiteiro.","⭐ MULTIOPORTUNIDADE (obra + CD oculta). Sede compras pode ser SJRP (~140 km).",
ARA-007,"Pacaembu Construtora (obras Araçatuba)",96.298.013/0001-68,Araçatuba,SP,0,Construtora,"Ferro para construção","CA-50 / SI 50 — Provável via CD ou compra centralizada","Treliças; Telas; Arame","FATO: Residencial Campo Belo (771 casas, ~R$ 146 mi); Vida Nova Araçatuba Fase 3 em obras; >2.500 unidades na cidade. Casas MCMV consomem armadura de fundação/laje/cintas.",Alto,Alto,"Construtora/incorporadora habitacional","Residenciais de interesse social e casas","Campo Belo (Umuarama/Pinheiros); Vida Nova Fase 3 (Rua Duque de Caxias, 330 — Centro — status Em Obras)","Não identificado — Provável suprimentos regional (SJRP/Bauru) ou engenheiro de obra","0800 730 2020 / (11) 3236-4141","Não identificado",atendimento@pacaembu.com,https://pacaembu.com/,"Obra Vida Nova: Rua Duque de Caxias, 330 — Centro — Araçatuba/SP | Matriz Bauru/SP","pacaembu.com; Prefeitura Araçatuba; LinkedIn Pacaembu",08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Visitar Vida Nova Fase 3 e Campo Belo: identificar fornecedor de aço/CD; contactar engenheiro residente","Armadura em escala para casas em série","Maior volume habitacional ativo na cidade; consumo recorrente por fase","Mapear comprador real (central vs obra). Oferecer kit obra: CA-50 + treliças + telas com logística de canteiro.","⭐ MULTIOPORTUNIDADE. Compras podem ser centralizadas fora de Araçatuba.",
ARA-008,"Ferreira Engenharia","Não identificado",Penápolis,SP,50,Construtora,"Ferro para construção","CA-50 / SI 50 — Provável — validar se compra direto","Treliças; Telas; Telha/coberturas em obras comerciais — Provável","FATO: construtora/incorporadora com obras em Araçatuba (Ferreira Hub, Central Park Tower/Aya) e Penápolis (Ferreira Liv); >100 obras no histórico.",Alto,Alto,"Incorporação, construção e desenvolvimento urbano","Residencial, comercial, shopping, hub multiuso","Ferreira Hub e empreendimentos em Araçatuba; Ferreira Liv em Penápolis","Não identificado","(18) 3654-2030","Não identificado",contato@ferreiraengenharia.com.br,https://ferreiraengenharia.com.br/,"Rua Vitor Antonio Janjácomo, 673 — Penápolis/SP — CEP 16306-522",ferreiraengenharia.com.br,08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"E-mail/telefone comercial + visita canteiro Hub Araçatuba","Aço de armadura e possivelmente coberturas/estruturas","Construtora regional com obras ativas em Araçatuba e sede a 50 km","Agendar com engenharia de obras; perguntar política de compra de aço (CD vs direto).","Sede Penápolis — combinar rota com outras visitas.",
ARA-009,"QCON Construtora e Incorporadora","Não identificado",Araçatuba,SP,0,Construtora,"Ferro para construção","CA-50 / SI 50 — Provável — validar","Treliças; Telas","FATO: construtora/incorporadora local com projetos residenciais e comerciais em Araçatuba.",Médio,Médio,"Construção e incorporação","Projetos residenciais, comerciais e de investimento","Não identificado no site — validar obras ativas","Não identificado","(14) 99832-0640","(14) 99832-0640",comercial@construtoraqcon.com.br,https://construtoraqcon.com.br/,"Av. Brasília, 2121 — Araçatuba/SP",construtoraqcon.com.br,08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"WhatsApp comercial: perguntar obras em andamento e quem compra aço","Armadura conforme pipeline de obras","Incorporadora local acessível; potencial médio se houver obra ativa","Contato direto WhatsApp; qualificar obra e estágio estrutural.","DDD 14 no telefone — confirmar se comercial atende Araçatuba.",
ARA-010,"Yama Engenharia","Não identificado",Araçatuba,SP,0,Construtora,"Ferro para construção","CA-50 / SI 50 — Provável — validar","Treliças; Arame","FATO: gestão/construção de residências de alto padrão em Araçatuba.",Médio,Baixo,"Engenharia / gestão de obras residenciais","Residências de alto padrão","Não identificado (portfólio genérico no site)","Não identificado","(18) 3625-1300","Não identificado",administrativo@yamaengenharia.com.br,https://yamaengenharia.com.br/,"R. Carlos Gomes, 239 — 5º andar, Sala 501 — Centro — Araçatuba/SP — CEP 16010-310",yamaengenharia.com.br,08/09/2026,,"Sem retorno",,,"Sem cadastro",,Qualificado,"Ligar: confirmar se compra aço ou só gerencia; obras ativas","Possível indicação de CD/fornecedor da obra","Obras residenciais alto padrão consomem aço; pode ser porta de indicação","Qualificar se compra ou indica. Volume unitário menor que Pacaembu/TARRAF.","Pode ser tratado como parceiro/indicação se não comprar direto.",
